sampleID,reads.in,reads.out,no.chim
CJawa_SA_Fr_01,81273,55979,49355
CJawa_SA_Fr_02,72013,47261,38338
CJawa_SA_Fr_03,94505,63915,52696
CJawa_SA_Fr_04,93403,64265,56403
CJawa_SA_Fr_05,86913,59807,51923
CJawa_SA_Fr_06,127298,87686,74336
CJawa_SA_Le_01,85527,56776,50420
CJawa_SA_Le_02,73989,51908,45122
CJawa_SA_Le_03,92387,63082,54651
CJawa_SA_Le_04,59586,39687,35276
CJawa_SA_Le_05,77749,51123,46156
CJawa_SA_Le_06,69451,48635,44300
CJawa_SA_Le_07,55812,38068,31293
CJawa_SA_Le_08,80732,50949,42918
CJawa_SA_Le_09,91585,60317,52604
CJawa_SA_Le_10,71677,51006,46233
CJawa_SA_Pn_01,75247,49849,36704
CJawa_SA_Pn_02,76589,50234,42907
CJawa_SA_Pn_03,58891,39134,33033
CJawa_SA_Pn_04,73951,47358,34171
CJawa_SA_Pn_05,91202,60554,49403
CJawa_SA_Pn_06,87812,59493,42214
CJawa_SA_Pn_07,84174,53756,44503
CJawa_SA_Pn_08,78876,50841,42596
CJawa_SA_Pn_09,119938,79128,62425
CJawa_SA_Pn_10,118613,76968,63882
Kran_SA_Fr_01,84205,55810,49417
Kran_SA_Fr_02,76498,48287,35775
Kran_SA_Fr_03,66353,45927,38665
Kran_SA_Fr_04,58008,39931,28323
Kran_SA_Fr_05,73480,49236,42747
Kran_SA_Fr_06,70390,45060,39090
Kran_SA_Fr_07,70308,48011,41325
Kran_SA_Fr_08,60913,44308,37947
Kran_SA_Fr_09,70036,48709,41181
Kran_SA_Fr_10,59885,43010,37392
Kran_SA_Le_01,82486,56875,48730
Kran_SA_Le_02,69909,46989,40740
Kran_SA_Le_03,85221,57016,49226
Kran_SA_Le_04,58677,39997,33934
Kran_SA_Le_05,55456,37038,31865
Kran_SA_Le_06,83252,54319,47301
Kran_SA_Le_07,71119,47701,42905
Kran_SA_Le_08,87075,60318,48153
Kran_SA_Le_09,58742,36471,30828
Kran_SA_Le_10,60233,43223,37308
Kran_SA_Pn_01,83919,56790,45595
Kran_SA_Pn_02,83848,53052,44555
Kran_SA_Pn_03,61156,42397,32384
Kran_SA_Pn_04,70961,47345,40179
Kran_SA_Pn_05,94073,53859,41419
Kran_SA_Pn_06,85853,52954,45687
Kran_SA_Pn_07,60797,39867,32605
Kran_SA_Pn_08,89718,60211,49032
Kran_SA_Pn_09,81865,57874,49006
Kran_SA_Pn_10,101194,55805,34206
Kran_SA_So_01,103190,53881,28972
Kran_SA_So_02,79303,41562,19475
Kran_SA_So_03,108257,58531,28161
Kran_SA_So_04,90966,55538,24644
Kran_SA_So_05,112028,63303,30456
Kran_SA_So_06,98762,55119,26063
Kran_SA_So_07,96140,51658,27132
Kran_SA_So_08,77930,37207,19075
Kran_SA_So_09,82203,46770,22989
Kran_SA_So_10,106203,57193,30465
LCK_SA_Fr_01,59595,41899,36139
LCK_SA_Fr_02,61464,41375,36048
LCK_SA_Fr_03,47046,27648,22819
LCK_SA_Fr_04,78121,50014,38814
LCK_SA_Fr_05,79769,54514,46028
LCK_SA_Fr_06,79189,56331,49353
LCK_SA_Fr_07,93794,64132,55411
LCK_SA_Fr_08,102343,71683,59642
LCK_SA_Fr_09,75225,51644,45471
LCK_SA_Fr_10,76523,50714,42756
LCK_SA_Le_01,77683,55487,46995
LCK_SA_Le_02,69925,48181,41878
LCK_SA_Le_03,75989,48755,43257
LCK_SA_Le_04,65643,46763,39233
LCK_SA_Le_05,64019,41307,36932
LCK_SA_Le_06,87238,58861,52967
LCK_SA_Le_07,61559,41879,35776
LCK_SA_Le_08,86054,58549,50545
LCK_SA_Le_09,69395,46393,35736
LCK_SA_Le_10,66729,42984,38122
LCK_SA_Pn_01,75291,48665,39825
LCK_SA_Pn_02,100781,68026,49831
LCK_SA_Pn_03,53797,34219,27773
LCK_SA_Pn_04,58627,42285,36782
LCK_SA_Pn_05,80331,55109,45466
LCK_SA_Pn_06,81593,49008,39007
LCK_SA_Pn_07,80434,51219,39388
LCK_SA_Pn_08,91556,59224,49933
LCK_SA_Pn_09,94264,64016,52033
LCK_SA_Pn_10,78217,51067,42404
